Year,Prisoners,Crime_Type
2015,1479,Theft
2016,1737,Theft
2017,1605,Theft
2018,1548,Theft
2019,1559,Theft
2020,1239,Theft
2021,1258,Theft
2022,1205,Theft
2023,1398,Theft
2024,1519,Theft
2015,3238,Robbery or Extortion
2016,3152,Robbery or Extortion
2017,3086,Robbery or Extortion
2018,3240,Robbery or Extortion
2019,3097,Robbery or Extortion
2020,3047,Robbery or Extortion
2021,2943,Robbery or Extortion
2022,2586,Robbery or Extortion
2023,2588,Robbery or Extortion
2024,2570,Robbery or Extortion
2015,4055,Unlawful Entry
2016,4360,Unlawful Entry
2017,4302,Unlawful Entry
2018,4378,Unlawful Entry
2019,4164,Unlawful Entry
2020,3886,Unlawful Entry
2021,3717,Unlawful Entry
2022,3305,Unlawful Entry
2023,3594,Unlawful Entry
2024,3763,Unlawful Entry
