Year,Prisoners,Crime_Type
2015,7651,Assault
2016,8364,Assault
2017,9344,Assault
2018,9659,Assault
2019,9824,Assault
2020,9467,Assault
2021,10775,Assault
2022,10557,Assault
2023,11272,Assault
2024,12315,Assault
2015,4069,Sexual Assault
2016,4386,Sexual Assault
2017,4785,Sexual Assault
2018,5283,Sexual Assault
2019,5671,Sexual Assault
2020,5798,Sexual Assault
2021,6187,Sexual Assault
2022,6446,Sexual Assault
2023,6821,Sexual Assault
2024,7352,Sexual Assault
2015,3000,Homicide
2016,3042,Homicide
2017,3110,Homicide
2018,3168,Homicide
2019,3258,Homicide
2020,3246,Homicide
2021,3292,Homicide
2022,3257,Homicide
2023,3293,Homicide
2024,3354,Homicide
