Year,Victims,Assault_Type
2009,527.4,Physical Assault
2010,509.5,Physical Assault
2011,486.6,Physical Assault
2012,539.8,Physical Assault
2013,498.0,Physical Assault
2014,419.3,Physical Assault
2015,400.2,Physical Assault
2016,465.7,Physical Assault
2017,455.6,Physical Assault
2018,471.6,Physical Assault
2019,472.0,Physical Assault
2020,466.6,Physical Assault
2021,409.2,Physical Assault
2022,385.6,Physical Assault
2023,363.4,Physical Assault
2024,366.0,Physical Assault
2009,52.5,Sexual Assault
2010,43.3,Sexual Assault
2011,54.8,Sexual Assault
2012,51.2,Sexual Assault
2013,40.8,Sexual Assault
2014,49.5,Sexual Assault
2015,61.3,Sexual Assault
2016,76.2,Sexual Assault
2017,78.0,Sexual Assault
2018,52.1,Sexual Assault
2019,84.4,Sexual Assault
2020,63.4,Sexual Assault
2021,102.9,Sexual Assault
2022,95.3,Sexual Assault
2023,87.5,Sexual Assault
2024,108.6,Sexual Assault
2009,718.6,Threatened Assault
2010,587.0,Threatened Assault
2011,594.3,Threatened Assault
2012,667.7,Threatened Assault
2013,576.8,Threatened Assault
2014,537.6,Threatened Assault
2015,551.3,Threatened Assault
2016,541.9,Threatened Assault
2017,555.8,Threatened Assault
2018,549.1,Threatened Assault
2019,600.4,Threatened Assault
2020,535.6,Threatened Assault
2021,509.5,Threatened Assault
2022,495.8,Threatened Assault
2023,499.3,Threatened Assault
2024,499.2,Threatened Assault
2009,96.7,Robbery
2010,71.5,Robbery
2011,77.3,Robbery
2012,66.5,Robbery
2013,65.7,Robbery
2014,63.0,Robbery
2015,55.8,Robbery
2016,70.6,Robbery
2017,72.8,Robbery
2018,48.0,Robbery
2019,70.3,Robbery
2020,73.5,Robbery
2021,54.9,Robbery
2022,52.8,Robbery
2023,53.0,Robbery
2024,53.4,Robbery
