Year,Status,Rate
2015,Indigenous,1.1334619986522232
2015,Non-Indigenous,0.11441092212671439
2016,Indigenous,1.1910125741714317
2016,Non-Indigenous,0.12010758950154116
2017,Indigenous,1.2458705065768965
2017,Non-Indigenous,0.12517338105706427
2018,Indigenous,1.279759815541792
2018,Non-Indigenous,0.12803651881467826
2019,Indigenous,1.2917242825106885
2019,Non-Indigenous,0.12616125890345925
2020,Indigenous,1.2549786529065368
2020,Non-Indigenous,0.11673593861638598
2021,Indigenous,1.3270508736757478
2021,Non-Indigenous,0.12047088571684873
2022,Indigenous,1.2871682298942326
2022,Non-Indigenous,0.10864334384977155
2023,Indigenous,1.356513222331048
2023,Non-Indigenous,0.10768606805520542
2024,Indigenous,1.5259615384615386
2024,Non-Indigenous,0.10732164661679036
